psi_al,false_alarm_rate,detection_rate
0.4561436225141783,0.03678678678678678,0.7048917401764234
0.4571167337381251,0.03691191191191191,0.7076182838813152
0.4582934855391555,0.03778778778778779,0.710077519379845
0.4592873846289473,0.038413413413413415,0.7125902165196472
0.4603038204787543,0.039664664664664666,0.7148356054530874
0.4613530391480784,0.04029029029029029,0.7173483025928896
0.4624071814570398,0.04104104104104104,0.7198609997326918
0.4635488816991005,0.041791791791791794,0.7223202352312216
0.4647194407455097,0.04279279279279279,0.7246725474472067
0.465779184387648,0.04354354354354354,0.7271317829457364
0.46681725392999024,0.044169169169169166,0.729697941726811
0.4675617249055984,0.04479479479479479,0.7322106388666132
0.46858305055297766,0.04517017017017017,0.7348302592889602
0.4696319942826591,0.04567067067067067,0.7373964180700348
0.4705599841266714,0.046296296296296294,0.7399625768511093
0.47140595529721924,0.0472972972972973,0.7423148890670943
0.4723615604313652,0.04842342342342342,0.744613739641807
0.4732872978599943,0.04954954954954955,0.7469125902165197
0.47429889505377026,0.0503003003003003,0.7493718257150495
0.4752740951751546,0.05155155155155155,0.7516706762897621
0.4762839284787413,0.052802802802802806,0.7539160652232023
0.4774000504824539,0.05455455455455455,0.7559476075915531
0.47830470508689704,0.055805805805805804,0.7581929965249933
0.47919152351654165,0.05668168168168168,0.7606522320235232
0.48046813697281765,0.057307307307307306,0.7631649291633253
0.48152939521597143,0.058308308308308306,0.7655172413793103
0.48256281045424665,0.058683683683683686,0.7681368618016573
0.4837752294232482,0.05980980980980981,0.7704891740176424
0.4846781338876024,0.06043543543543543,0.7730018711574446
0.48599781199188613,0.06118618618618619,0.7754611066559743
0.487374791000509,0.062062062062062065,0.7778668805132317
0.48857014923879616,0.0631881881881882,0.7802191927292168
0.48972263142063527,0.06431431431431431,0.7825180433039294
0.4908917535479824,0.0656906906906907,0.7847099705960973
0.491870201001151,0.06656656656656657,0.7871157444533547
0.49307981228555003,0.06806806806806807,0.7893076717455226
0.49413119035810193,0.06881881881881882,0.7917669072440524
0.49518259978674867,0.06994494494494495,0.794065757818765
0.49591439547885274,0.07082082082082082,0.7964715316760225
0.49684171357787144,0.07157157157157157,0.7989842288158246
0.4978691586915158,0.07257257257257257,0.8013365410318096
0.4989672270861758,0.07394894894894895,0.8035284683239775
0.5000463458812572,0.0752002002002002,0.8057738572574178
0.5011636840395323,0.07645145145145145,0.8080727078321305
0.5023170392736227,0.0787037037037037,0.8098904036353916
0.5031171878988493,0.08008008008008008,0.8120823309275594
0.5041559351387834,0.08095595595595595,0.8144881047848169
0.5050989506351997,0.08220720720720721,0.8167869553595295
0.5060103284026863,0.08383383383383383,0.8188719593691526
0.5068906533296703,0.0852102102102102,0.8210638866613205
0.5079455628220996,0.08633633633633633,0.8233627372360331
0.5089751739562884,0.08746246246246246,0.8256615878107458
0.5098987901699147,0.08921421421421422,0.8277465918203689
0.5109502218444032,0.09109109109109109,0.8297246725474472
0.5118528761783911,0.09271771771771772,0.8318096765570703
0.5130349167412811,0.09371871871871872,0.8341619887730554
0.5140133858200073,0.0945945945945946,0.8366212242715851
0.5149288258410625,0.09622122122122122,0.8387062282812082
0.5161884470681336,0.09847347347347347,0.8405239240844694
0.5174192722305749,0.09984984984984985,0.8427158513766373
0.5186720029610032,0.10072572572572573,0.8451750868751671
0.5199491013922839,0.10272772772772773,0.847099705960973
0.5209150984883909,0.10447947947947948,0.8491312483293237
0.5221208308637961,0.10585585585585586,0.8513231756214916
0.5234195323159632,0.10735735735735735,0.8535151029136594
0.5249306186834124,0.10810810810810811,0.8559743384121893
0.5263362088669722,0.10985985985985985,0.85800588078054
0.5273976438182959,0.11136136136136136,0.8601443464314354
0.5283878339880079,0.11323823823823824,0.8621758887997861
0.5297589838362382,0.11486486486486487,0.8642608928094092
0.5310081224241627,0.11661661661661661,0.86629243517776
0.5328729746461253,0.11836836836836837,0.8683239775461107
0.5339823357413123,0.1194944944944945,0.8706762897620957
0.5354265996727997,0.12124624624624625,0.8727078321304464
0.5364499674720065,0.12237237237237238,0.875006682705159
0.5375745204922153,0.12374874874874875,0.8771986099973269
0.5391850490518575,0.12462462462462462,0.8796578454958567
0.5405905626690706,0.12612612612612611,0.8817963111467522
0.5419096168932306,0.1275025025025025,0.88398823843892
0.5433358379830029,0.129004004004004,0.8861267040898155
0.5447308842917489,0.1305055055055055,0.8883186313819834
0.5457909041281676,0.13238238238238237,0.8902967121090617
0.5469108648225824,0.13413413413413414,0.8923282544774125
0.5481287600381145,0.136011011011011,0.8943063352044908
0.5494405978421765,0.13813813813813813,0.8961774926490244
0.5508285494326827,0.13976476476476477,0.8983159582999198
0.5520936874407659,0.14226726726726727,0.9000267308206362
0.5536785126136807,0.14514514514514515,0.9015771184175354
0.5553076539371528,0.14677177177177178,0.9036621224271585
0.5567296507694972,0.14914914914914915,0.9054798182304197
0.557753029585188,0.15115115115115116,0.9074044373162256
0.5595966589356125,0.15252752752752752,0.9095963646083934
0.5614584754764538,0.1549049049049049,0.9113605987703822
0.5628982125755918,0.15653153153153154,0.9134990644212777
0.5641642316249015,0.15853353353353353,0.9155840684309008
0.5656872831589991,0.16003503503503502,0.9175621491579792
0.5669511123293222,0.16203703703703703,0.9194867682437851
0.5686401628048533,0.1639139139139139,0.9215183106121357
0.5698689282314647,0.16554054054054054,0.9236033146217589
0.5716522978654759,0.16716716716716717,0.925688318631382
0.5731621555620595,0.16854354354354353,0.9278802459235499
0.5749423560484497,0.17104604604604604,0.9296444800855386
0.5765969568998668,0.17304804804804805,0.9315690991713446
0.5780862075873371,0.1742992992992993,0.9338144881047848
0.579730926875039,0.17617617617617617,0.9357925688318631
0.5809300518600732,0.1783033033033033,0.9377171879176691
0.5823705365644724,0.1803053053053053,0.939641807003475
0.5843923408467926,0.18255755755755756,0.9414595028067362
0.5861709101951899,0.18405905905905906,0.9435979684576317
0.588037318490891,0.1856856856856857,0.9457364341085271
0.5900227004513181,0.18806306306306306,0.9475006682705159
0.5916118962832754,0.19044044044044045,0.9492649024325047
0.5934225185635564,0.19244244244244244,0.9511895215183106
0.5955007375718954,0.1946946946946947,0.9531141406041166
0.5971665591555738,0.19732232232232233,0.9547179898422882
0.598598636156762,0.20007507507507508,0.9563218390804598
0.6005411365065646,0.2020770770770771,0.9582464581662657
0.6027553275864276,0.20482982982982983,0.9598503074044373
