attack,drift,offset,eta,n_generated,n_excluded_early_crossing,n_retained,n_positive,n_negative
0.2,0.02,0.002,0.0639927536231884,200,110,90,90,0
0.2,0.02,0.004,0.0659927536231884,200,183,17,17,0
0.2,0.02,0.008,0.06999275362318841,200,200,0,0,0
0.25,0.02,-0.008,0.05160000000000001,200,0,200,8,192
0.25,0.02,-0.004,0.05560000000000001,200,0,200,150,50
0.25,0.02,-0.002,0.057600000000000005,200,8,192,192,0
0.25,0.02,0.0,0.05960000000000001,200,50,150,150,0
0.25,0.02,0.002,0.06160000000000001,200,126,74,74,0
0.25,0.02,0.004,0.0636,200,189,11,11,0
0.25,0.02,0.008,0.06760000000000001,200,200,0,0,0
0.3,0.02,-0.008,0.04882692307692308,200,0,200,5,195
0.3,0.02,-0.004,0.05282692307692308,200,0,200,153,47
0.3,0.02,-0.002,0.05482692307692308,200,14,186,183,3
0.3,0.02,0.0,0.05682692307692308,200,38,162,162,0
0.3,0.02,0.002,0.05882692307692308,200,124,76,76,0
0.3,0.02,0.004,0.060826923076923084,200,192,8,8,0
0.3,0.02,0.008,0.06482692307692309,200,200,0,0,0
0.35,0.02,-0.008,0.04621875,200,0,200,9,191
0.35,0.02,-0.004,0.050218750000000006,200,0,200,166,34
0.35,0.02,-0.002,0.05221875,200,12,188,188,0
0.35,0.02,0.0,0.05421875,200,55,145,145,0
0.35,0.02,0.002,0.056218750000000005,200,143,57,57,0
0.35,0.02,0.004,0.05821875,200,195,5,5,0
0.35,0.02,0.008,0.06221875,200,200,0,0,0
0.4,0.02,-0.008,0.04303174603174603,200,0,200,5,195
0.4,0.02,-0.004,0.047031746031746036,200,1,199,131,68
0.4,0.02,-0.002,0.04903174603174603,200,7,193,191,2
0.4,0.02,0.0,0.05103174603174603,200,45,155,155,0
0.4,0.02,0.002,0.053031746031746034,200,114,86,86,0
0.4,0.02,0.004,0.05503174603174603,200,189,11,11,0
0.4,0.02,0.008,0.05903174603174603,200,200,0,0,0
0.05,0.03,-0.008,0.05135810810810811,200,0,200,7,193
0.05,0.03,-0.004,0.05535810810810811,200,0,200,138,62
0.05,0.03,-0.002,0.05735810810810811,200,13,187,184,3
0.05,0.03,0.0,0.05935810810810811,200,37,163,163,0
0.05,0.03,0.002,0.061358108108108114,200,118,82,82,0
0.05,0.03,0.004,0.06335810810810812,200,188,12,12,0
0.05,0.03,0.008,0.0673581081081081,200,200,0,0,0
0.1,0.03,-0.008,0.04860958904109589,200,0,200,3,197
0.1,0.03,-0.004,0.05260958904109589,200,1,199,144,55
0.1,0.03,-0.002,0.05460958904109589,200,9,191,188,3
0.1,0.03,0.0,0.05660958904109589,200,44,156,156,0
0.1,0.03,0.002,0.058609589041095894,200,117,83,83,0
0.1,0.03,0.004,0.060609589041095896,200,190,10,10,0
0.1,0.03,0.008,0.0646095890410959,200,200,0,0,0
0.15,0.03,-0.008,0.04605263157894737,200,0,200,7,193
0.15,0.03,-0.004,0.050052631578947376,200,0,200,132,68
0.15,0.03,-0.002,0.05205263157894737,200,9,191,190,1
0.15,0.03,0.0,0.05405263157894737,200,40,160,160,0
0.15,0.03,0.002,0.056052631578947375,200,138,62,62,0
0.15,0.03,0.004,0.05805263157894737,200,188,12,12,0
0.15,0.03,0.008,0.06205263157894737,200,200,0,0,0
0.2,0.03,-0.008,0.043105263157894744,200,0,200,4,196
0.2,0.03,-0.004,0.04710526315789475,200,1,199,142,57
