scenario,t,qber_mean,qber_q05,qber_q50,qber_q95,margin_mean,margin_q05,margin_q50,margin_q95,psi_mean,psi_q05,psi_q50,psi_q95,p_secure,p_transition,p_insecure
transition_margin,76.0,0.0995174749485004,0.09515554624489368,0.09935058133445061,0.10465067560490206,0.0183543396271053,-0.01399325982210571,0.019273153181680488,0.04624401315119304,0.16685763297368453,-0.12721145292823374,0.1752104834698226,0.42040011955630036,0.7933333333333333,0.04666666666666667,0.16
transition_margin,77.0,0.09964456548304877,0.09450612757934429,0.09950769875353514,0.10506965538912748,0.01757645518155442,-0.0165856117587926,0.018274125200689436,0.050472518406781,0.15978595619594926,-0.15077828871629634,0.16612841091535852,0.45884107642528177,0.7866666666666666,0.04666666666666667,0.16666666666666666
transition_margin,78.0,0.09904332949268531,0.09472609196606263,0.09903634649628155,0.10375510631612024,0.02135011195803084,-0.008434082901594534,0.02127351002064903,0.049038333537400496,0.19409192689118945,-0.07667348092358667,0.1933955456422639,0.44580303215818634,0.88,0.04,0.08
transition_margin,79.0,0.0988827205753989,0.09346915261338641,0.09929820886142243,0.10312663663978212,0.022412760169436018,-0.004517969230841132,0.019606280383132776,0.05725152217308157,0.2037523651766911,-0.0410724475531012,0.17823891257393432,0.5204683833916506,0.8733333333333333,0.05333333333333334,0.07333333333333333
transition_margin,80.0,0.09912922034845152,0.0940609615586048,0.09929820886142243,0.10423169582067665,0.020847915345710216,-0.01139550211556172,0.019606280383132776,0.05337740266082207,0.18952650314282016,-0.10359547377783383,0.17823891257393432,0.4852491150983824,0.8333333333333334,0.04666666666666667,0.12
transition_margin,81.0,0.09842393771167209,0.09316539226982298,0.09830313187388709,0.10328899130616948,0.025330378080774152,-0.005530682771197712,0.02595344255528836,0.05924405263522364,0.23027616437067414,-0.050278934283615566,0.23594038686625782,0.5385822966838513,0.9,0.03333333333333333,0.06666666666666667
transition_margin,82.0,0.09849725917391151,0.0935267623337174,0.09866973918508432,0.10327851681156384,0.024872555788565412,-0.005465532220826744,0.0236114295055676,0.05687368184763704,0.22611414353241288,-0.0496866565529704,0.21464935914152364,0.5170334713421548,0.8733333333333333,0.03333333333333333,0.09333333333333334
transition_margin,83.0,0.09900492301246465,0.09394574211794281,0.09903634649628155,0.10444118571278936,0.021620990901963687,-0.012695057885844699,0.02127351002064903,0.05413082731609176,0.19655446274512442,-0.11540961714404273,0.1933955456422639,0.4920984301462888,0.86,0.06,0.08
transition_margin,84.0,0.09895045564051534,0.0931130197967948,0.09882685660416884,0.10453545616424008,0.022007298539211878,-0.01327958356385545,0.022608854632041594,0.05959353949188331,0.20006635035647163,-0.12072348694414045,0.20553504210946905,0.541759449926212,0.8066666666666666,0.02666666666666667,0.16666666666666666
transition_margin,85.0,0.09869208477357634,0.09468943123494292,0.09856499423902797,0.10296428197339479,0.023614142274374052,-0.003504348903016378,0.024279990623204014,0.049276717886288665,0.21467402067612776,-0.03185771730014889,0.22072718748367284,0.44797016260262423,0.8666666666666667,0.06666666666666667,0.06666666666666667
transition_margin,86.0,0.09865856639083831,0.09373625222583011,0.09861736671205615,0.10328899130616948,0.023813495424711457,-0.005530682771197712,0.02394562107405118,0.055501509267816655,0.21648632204283147,-0.050278934283615566,0.21768746430955616,0.5045591751619696,0.88,0.04666666666666667,0.07333333333333333
transition_margin,87.0,0.0983226842638176,0.09295590237771027,0.09840787681994344,0.10397507070283858,0.02603416403998118,-0.009801487478564101,0.025283812035887084,0.06062030212853492,0.23667421854528348,-0.08910443162331,0.2298528366898826,0.5510936557139537,0.86,0.04666666666666667,0.09333333333333334
