replicate,mean_boundary,w_a,w_d,r_a,r_d,kappa,w_M
19,0.06590678828199428,0.05383027170689855,0.8564137469765316,0.18541027892937018,1.027201579049301,2.7905713436342596,1.4215008354947487
20,0.06507681406962017,0.05926493726895905,0.8805747511246633,0.18425823949524894,1.0393332076670179,2.3818422887838446,1.3771243071929744
21,0.06374581122635777,0.060394913525596,0.914184047155341,0.17818295108264273,1.0754874483766539,2.634280898148925,1.422879068434685
22,0.06594810951372215,0.060158197987689205,0.8145713715628791,0.17193003842285867,0.9992789737812546,2.5226416286100997,1.290308661727919
23,0.06733773907577767,0.053464173521510464,0.8285303825245971,0.16901452101058542,1.095114197237378,2.429769741538177,1.3058706486094573
24,0.06590562499278618,0.05869565139008426,0.8254669557324388,0.18387578920812483,1.02286640597635,2.4487133823744713,1.4103493862545229
25,0.06541908674551805,0.055417499835019327,0.8584139818129183,0.16497070799550545,1.120051212073766,2.8197323831917505,1.4441426216542643
26,0.06412324147112336,0.060445688975211964,0.9237811105460512,0.18290174528362474,0.9984525948948465,2.5349345902520652,1.2748556661450294
27,0.06391780656458157,0.05630116277595409,0.9420267311652376,0.16750334925253332,1.1866406131103833,2.7848472233079327,1.4428655317504326
28,0.06631351590539387,0.05258655861942753,0.8739630938233944,0.17875835706740942,1.169937323255292,2.58320676807202,1.3927162034482918
29,0.06690374200051692,0.054410303120403014,0.8242347963879008,0.17140182700996826,1.0746884821559142,2.7480439037639224,1.215864103244828
30,0.06552819878701432,0.058910009540407704,0.8439480130616941,0.18310993717360471,1.161027135087748,2.424163420600393,1.43554859431842
31,0.06416314264180181,0.056675827896782514,0.9228809993370598,0.16360451891163372,1.142648242802815,2.8170734523721856,1.4166232760108703
32,0.06360393985803847,0.058310369774051414,0.9756998864375603,0.1855071170116373,1.1915593977248693,2.418035997383406,1.4068836565996947
33,0.06614945251541371,0.05673042100276225,0.8240098947049637,0.16605258655400146,1.1252257472106235,2.795038234118648,1.277871259783986
34,0.06481158878243659,0.05036730371905996,0.9696405091113314,0.1883301146202582,1.0572380526069616,2.8042014584701493,1.4252550045915602
35,0.06564376440040126,0.06044718943286111,0.820016680167891,0.17848445568883228,1.0183462432222892,2.6470972980998075,1.2680204185890172
36,0.06528377756388454,0.050158134554026866,0.9491420032461,0.1698032328529936,1.015653043239561,2.815427538716635,1.3867147235706965
37,0.06422489960522927,0.059373096827710484,0.9104072310485557,0.19193346372729936,1.1623833104217731,2.4517573117959364,1.4625301056097821
38,0.06700843643842996,0.05297773519211614,0.8151726588438113,0.18269828527520357,1.1251959175311952,2.5735117502531852,1.465892371424164
