t,eta,attack,drift,shots,n_eff,qber_mean,qber_obs,secrecy_margin,leakage_burden,psi,dpsi_dt,dqber_dt,phase,scenario,repeat
52.0,0.075,0.16,0.015,10000,9547,0.10411016775761447,0.10348800670367654,-0.00677127813069384,0.19511600502775744,-0.061557073915398546,-0.023433810273886857,0.00041897978422541365,insecure,transition_margin,65
53.0,0.075,0.16,0.015,10000,9547,0.10390398920987684,0.10642086519325443,-0.024909507912091847,0.19731564889494085,-0.2264500719281077,-0.09120917426965192,0.0016235466638734736,insecure,transition_margin,65
54.0,0.075,0.16,0.015,10000,9547,0.1036919170923001,0.10673510003142349,-0.02683729647001726,0.19755132502356765,-0.24397542245470238,0.07059468214443698,-0.001256939352676234,insecure,transition_margin,65
55.0,0.075,0.16,0.015,10000,9547,0.10347476301011092,0.10390698648790196,-0.009378677840315711,0.1954302398659265,-0.08526070763923374,0.06457734835322759,-0.0011521944066198858,insecure,transition_margin,65
56.0,0.075,0.16,0.015,10000,9547,0.10325335249784773,0.10443071121818372,-0.012630279832307193,0.19582303341363783,-0.11482072574824721,0.251128715433313,-0.004346915261338645,insecure,transition_margin,65
57.0,0.075,0.16,0.015,10000,9547,0.10302852275662794,0.09521315596522467,0.04586963955501315,0.18890986697391854,0.4169967232273923,0.12234730887097872,-0.0021472713941552285,secure,transition_margin,65
58.0,0.075,0.16,0.015,10000,9547,0.10280112035943785,0.10013616842987326,0.014286128119308125,0.19260212632240498,0.12987389199371022,-0.23631007040821475,0.004085052896197761,secure,transition_margin,65
59.0,0.075,0.16,0.015,10000,9547,0.10257199893073497,0.10338326175762019,-0.006118575934794094,0.19503744631821518,-0.055623417589037216,-0.024080307021829228,0.00041897978422541365,insecure,transition_margin,65
60.0,0.075,0.16,0.015,10000,9547,0.10234201680672268,0.10097412799832409,0.008988460574505693,0.1932305959987431,0.08171327795005176,0.008909804193059999,-0.00015711741908452925,secure,transition_margin,65
61.0,0.075,0.16,0.015,10000,9547,0.1021120346827104,0.10306902691945113,-0.004158419012320894,0.19480177018958839,-0.03780380920291722,-0.009003920090528368,0.00015711741908452925,insecure,transition_margin,65
