eta,attack,drift,shots,n_repeats,n_eff,qber_mean_det,qber_obs_mean,qber_obs_sd,qber_obs_ci_low,qber_obs_ci_med,qber_obs_ci_high,margin_mean,margin_sd,margin_ci_low,margin_ci_med,margin_ci_high,psi_mean,psi_sd,psi_ci_low,psi_ci_med,psi_ci_high,mean_leakage,p_secure,p_transition,p_insecure,dominant_phase,dp_secure_deta,profile_attack,profile_drift
0.045000000000000005,0.35,0.03,10000,250,9040,0.10093598426254233,0.10097345132743363,0.00313202499308833,0.09462942477876106,0.10077433628318584,0.1070658185840708,-0.011837859204529344,0.019773421464572307,-0.04984818846219521,-0.010736479054067067,0.028681809584045325,-0.10761690185935766,0.17975837695065733,-0.45316534965632005,-0.09760435503697333,0.26074372349132113,0.3302300884955752,0.232,0.072,0.696,insecure,-95.99999999999997,0.35,0.03
0.0475,0.35,0.03,10000,250,9040,0.10343598426254233,0.10320132743362831,0.0030981074120755925,0.09800884955752212,0.10320796460176991,0.10954922566371682,-0.025820973521059387,0.01933572737813911,-0.06495499680728557,-0.026011485321617695,0.006850634816960445,-0.23473612291872173,0.17577933980126464,-0.5904999709753234,-0.23646804837834268,0.062278498336004046,0.33190099557522124,0.072,0.048,0.88,insecure,-44.000000000000085,0.35,0.03
0.05,0.35,0.03,10000,250,9040,0.10593598426254233,0.10581637168141593,0.0031929157865757353,0.10033185840707964,0.10586283185840709,0.11222898230088495,-0.042023911704400944,0.019645268454222636,-0.08105127808676353,-0.04246466988050325,-0.00793906158098636,-0.3820355609490995,0.1785933495838421,-0.7368298007887594,-0.38604245345912047,-0.072173287099876,0.33386227876106195,0.012,0.008,0.98,insecure,-14.399999999999986,0.35,0.03
0.052500000000000005,0.35,0.03,10000,250,9040,0.10843598426254233,0.10842699115044248,0.0031958849339524947,0.10221238938053097,0.1084070796460177,0.11471238938053098,-0.05799973905463739,0.019439733433457815,-0.09578236169634904,-0.05803061328199667,-0.01978515692283635,-0.5272703550421582,0.17672484939507105,-0.8707487426940822,-0.5275510298363334,-0.17986506293487592,0.3358202433628319,0.0,0.0,1.0,insecure,-2.3999999999999946,0.35,0.03
0.055,0.35,0.03,10000,250,9040,0.11093598426254232,0.11072787610619468,0.0032534758526958944,0.10469579646017699,0.11061946902654868,0.11759955752212391,-0.07190638899548861,0.019551075254735803,-0.1126877861318523,-0.07140898724549473,-0.03525874230606531,-0.6536944454135329,0.17773704777032545,-1.0244344193804753,-0.6491726113226793,-0.32053402096423006,0.33754590707964605,0.0,0.0,1.0,insecure,0.0,0.35,0.03
0.0575,0.35,0.03,10000,250,9040,0.11343598426254232,0.11356460176991151,0.003536980413187279,0.10655143805309734,0.11349557522123893,0.11999723451327433,-0.08881709548931564,0.020999914298266004,-0.12655150822598327,-0.0885866217706747,-0.04669689706394639,-0.8074281408119605,0.1909083118024182,-1.1504682565998479,-0.8053329251879517,-0.42451724603587626,0.33967345132743365,0.0,0.0,1.0,insecure,0.0,0.35,0.03
0.060000000000000005,0.35,0.03,10000,250,9040,0.11593598426254233,0.11634734513274336,0.003293588711760284,0.11000553097345132,0.11648230088495576,0.12397953539823009,-0.10523304031249964,0.019265798093992082,-0.14923118300802643,-0.10617389777717659,-0.0677108618427369,-0.9566640028409058,0.17514361903629164,-1.3566471182547857,-0.9652172525197872,-0.6155532894794263,0.3417605088495575,0.0,0.0,1.0,insecure,0.0,0.35,0.03
0.0625,0.35,0.03,10000,250,9040,0.11843598426254233,0.11838097345132743,0.0031914946652780783,0.1122179203539823,0.11830752212389381,0.12497511061946903,-0.11708361001684522,0.01848240590720208,-0.15483480894803897,-0.11679814875010977,-0.08098526438398004,-1.064396454698593,0.16802187188365528,-1.4075891722548999,-1.0618013522737253,-0.7362296762180004,0.3432857300884956,0.0,0.0,1.0,insecure,0.0,0.35,0.03
0.065,0.35,0.03,10000,250,9040,0.12093598426254233,0.12078230088495574,0.003602667980336502,0.11408738938053097,0.1209070796460177,0.1284762168141593,-0.13088109270990378,0.020606331533135007,-0.1743330476692792,-0.13177096441612704,-0.09209055185793837,-1.18982811554458,0.18733028666486368,-1.5848458879025384,-1.1979178583284276,-0.837186835072167,0.34508672566371684,0.0,0.0,1.0,insecure,0.0,0.35,0.03
0.0675,0.35,0.03,10000,250,9040,0.12343598426254233,0.12351681415929204,0.0034826944149790456,0.11626106194690265,0.12378318584070797,0.12942477876106195,-0.14645640506616314,0.019742356683481205,-0.17956275675806302,-0.14812294877045198,-0.10487978280299518,-1.3314218642378468,0.17947596984982916,-1.6323886978005728,-1.3465722615495634,-0.9534525709363197,0.3471376106194691,0.0,0.0,1.0,insecure,0.0,0.35,0.03
0.06999999999999999,0.35,0.03,10000,250,9040,0.12593598426254232,0.1259721238938053,0.0036829355493279434,0.11785951327433629,0.12605088495575223,0.1327295353982301,-0.16024270859164158,0.020656554849766605,-0.19759845232899273,-0.1608604339171225,-0.11419887290479074,-1.4567518962876507,0.18778686227060548,-1.7963495666272067,-1.4623675810647498,-1.0381715718617341,0.348979092920354,0.0,0.0,1.0,insecure,0.0,0.35,0.03
0.0725,0.35,0.03,10000,250,9040,0.12843598426254232,0.12889823008849557,0.003698659559284011,0.1217920353982301,0.12898230088495574,0.13645464601769913,-0.17648830389714404,0.020385274423209872,-0.21760160627765407,-0.17712674734571535,-0.13682605045771715,-1.6044391263376732,0.18532067657463522,-1.9781964207059461,-1.6102431576883214,-1.2438731859792467,0.3511736725663717,0.0,0.0,1.0,insecure,0.0,0.35,0.03
0.075,0.35,0.03,10000,250,9040,0.13093598426254233,0.13103097345132744,0.0031765397355983014,0.12452157079646017,0.13119469026548672,0.13704369469026548,-0.18823591609599197,0.017366476140133865,-0.22073273552703865,-0.18925680159098648,-0.1522850742224153,-1.7112356008726537,0.1578770558193988,-2.006661232063988,-1.7205163780998771,-1.384409765658321,0.3527732300884956,0.0,0.0,1.0,insecure,0.0,0.35,0.03
0.0775,0.35,0.03,10000,250,9040,0.13343598426254233,0.13322654867256636,0.0037333648357026055,0.12635232300884955,0.13329646017699115,0.14074391592920354,-0.20011436018718165,0.020177731435813757,-0.24021297566813649,-0.20066555418211865,-0.16254341727846278,-1.8192214562471059,0.18343392214376142,-2.183754324255786,-1.8242323107465332,-1.477667429804207,0.35441991150442476,0.0,0.0,1.0,insecure,0.0,0.35,0.03
0.08,0.35,0.03,10000,250,9040,0.13593598426254233,0.13551592920353983,0.003413129526617686,0.1288716814159292,0.13561946902654867,0.14256360619469027,-0.21245053212255227,0.01825269576140662,-0.2496726592102191,-0.21314692360720847,-0.1765169598767499,-1.9313684738413843,0.16593359783096928,-2.2697514473656284,-1.9376993055200769,-1.6046996352431808,0.3561369469026549,0.0,0.0,1.0,insecure,0.0,0.35,0.03
0.08249999999999999,0.35,0.03,10000,250,9040,0.13843598426254233,0.13830309734513274,0.00364710971790991,0.13135508849557523,0.1381637168141593,0.14583241150442477,-0.22724029206546986,0.01924583492328016,-0.2664692559495876,-0.22666465544565542,-0.1901312839290575,-2.065820836958817,0.17496213566618327,-2.4224477813598875,-2.0605877767786858,-1.7284662175368866,0.3582273230088496,0.0,0.0,1.0,insecure,0.0,0.35,0.03
0.08499999999999999,0.35,0.03,10000,250,9040,0.14093598426254234,0.14056150442477877,0.0033240199346406363,0.1337638274336283,0.14054203539823007,0.14800884955752214,-0.23912921139477966,0.01736105312302978,-0.27751557966239926,-0.23915885924422078,-0.20318742714450988,-2.1739019217707245,0.15782775566390708,-2.5228689060218112,-2.1741714476747345,-1.8471584285864535,0.359921128318584,0.0,0.0,1.0,insecure,0.0,0.35,0.03
0.0875,0.35,0.03,10000,250,9040,0.14343598426254234,0.14350884955752213,0.003981501145840357,0.1364186946902655,0.14341814159292038,0.15098174778761062,-0.2543703359774527,0.02050561645383494,-0.29242847615873013,-0.2540878441606741,-0.2174102747360645,-2.312457599795024,0.1864146950348631,-2.6584406923520922,-2.3098894923697646,-1.976457043055132,0.3621316371681416,0.0,0.0,1.0,insecure,0.0,0.35,0.03
0.09,0.35,0.03,10000,250,9040,0.14593598426254234,0.1455287610619469,0.003797438411045487,0.13809181415929203,0.14568584070796461,0.15232300884955752,-0.26475270956658936,0.019438148387984893,-0.29909217204640626,-0.2657216575967808,-0.2262838675251692,-2.4068428142417213,0.17671043989077176,-2.7190197458764205,-2.415651432698007,-2.0571260684106294,0.3636465707964602,0.0,0.0,1.0,insecure,0.0,0.35,0.03
