eta,attack,drift,shots,n_repeats,n_eff,qber_mean_det,qber_obs_mean,qber_obs_sd,qber_obs_ci_low,qber_obs_ci_med,qber_obs_ci_high,margin_mean,margin_sd,margin_ci_low,margin_ci_med,margin_ci_high,psi_mean,psi_sd,psi_ci_low,psi_ci_med,psi_ci_high,mean_leakage,p_secure,p_transition,p_insecure,dominant_phase
0.14250000000000002,0.1,0.02,10000,250,9600,0.17568598426254237,0.175725,0.003816185326066154,0.16804427083333334,0.17572916666666666,0.1824296875,-0.3946618180273002,0.017013429998993287,-0.42426306498666755,-0.39482485066850875,-0.35995868840777917,-3.5878347093390937,0.1546675454453935,-3.8569369544242504,-3.5893168242591704,-3.2723517127979926,0.21479375,0.0,0.0,1.0,insecure
0.14500000000000002,0.1,0.02,10000,250,9600,0.17818598426254237,0.17824333333333334,0.004228670688269065,0.17108854166666668,0.17786458333333333,0.1868046875,-0.4057987675402226,0.01863561677385673,-0.4430140791397533,-0.4043025037009837,-0.3739137693548033,-3.6890797049111144,0.16941469794415204,-4.027400719452303,-3.6754773063725787,-3.3992160850436663,0.2166825,0.0,0.0,1.0,insecure
0.14750000000000002,0.1,0.02,10000,250,9600,0.18068598426254237,0.18069,0.0039004022829114476,0.1731953125,0.18072916666666666,0.18807812499999998,-0.4165567534452459,0.017027706630095892,-0.44840344550379796,-0.4168753283122592,-0.3834606903259647,-3.7868795767749623,0.15479733300087173,-4.076394959125436,-3.789775711929629,-3.4860062756905883,0.2185175,0.0,0.0,1.0,insecure
0.15000000000000002,0.1,0.02,10000,250,9600,0.18318598426254237,0.18285791666666665,0.004064968936204708,0.17489583333333333,0.18322916666666667,0.18976822916666666,-0.4259556647422044,0.017604403768899896,-0.4555088439363549,-0.4277172036744285,-0.3911016507158824,-3.8723242249291316,0.16004003426272628,-4.140989490330499,-3.888338215222077,-3.555469551962567,0.2201434375,0.0,0.0,1.0,insecure
0.15250000000000002,0.1,0.02,10000,250,9600,0.18568598426254238,0.18601875,0.003979079821833838,0.17835937500000001,0.18604166666666666,0.19318229166666667,-0.4395223790865744,0.016964902642277974,-0.4696986729612914,-0.43977033672572013,-0.40648384626839673,-3.995657991696131,0.15422638765707247,-4.2699879360117405,-3.997912152052001,-3.695307693349061,0.22251406250000003,0.0,0.0,1.0,insecure
0.155,0.1,0.02,10000,250,9600,0.18818598426254232,0.18822291666666666,0.004053743502029105,0.18085677083333335,0.1884375,0.19590104166666666,-0.4488595837273771,0.01713429434531959,-0.4808435901245444,-0.44991886631486605,-0.4174316358685539,-4.080541670248883,0.15576631223017812,-4.3713053647685856,-4.0901715119533275,-3.79483305335049,0.2241671875,0.0,0.0,1.0,insecure
0.1575,0.1,0.02,10000,250,9600,0.19068598426254232,0.19074750000000001,0.004027872927371715,0.1828828125,0.19083333333333333,0.19886458333333332,-0.45945024916720717,0.01679023331574797,-0.49283874696592284,-0.4599590935115196,-0.4262222076824758,-4.17682044697461,0.15263848468861796,-4.480352245144753,-4.181446304650178,-3.8747473425679617,0.22606062500000002,0.0,0.0,1.0,insecure
0.16,0.1,0.02,10000,250,9600,0.19318598426254233,0.19384583333333333,0.0038705117160105717,0.18689843750000001,0.19364583333333332,0.20197916666666665,-0.47229382156660876,0.015898744223762886,-0.5052737623498845,-0.4716086606705589,-0.44341202783941475,-4.293580196060081,0.14453403839784443,-4.593397839544405,-4.287351460641444,-4.031018434903771,0.22838437500000003,0.0,0.0,1.0,insecure
0.1625,0.1,0.02,10000,250,9600,0.19568598426254233,0.1956733333333333,0.004023705068288799,0.1873046875,0.195625,0.20328645833333334,-0.479767996212064,0.01643531520405984,-0.5104411019130439,-0.47971878545465957,-0.4451334913582059,-4.361527238291492,0.14941195640054403,-4.640373653754945,-4.361079867769632,-4.046668103256417,0.229755,0.0,0.0,1.0,insecure
0.165,0.1,0.02,10000,250,9600,0.19818598426254233,0.19824333333333333,0.004221956705568494,0.19135416666666666,0.19765625,0.20722135416666668,-0.4901768801598773,0.01697348605391765,-0.5258115489125249,-0.4879676269360585,-0.46212752302814536,-4.456153455998885,0.15430441867197867,-4.780104990113863,-4.436069335782349,-4.201159300255867,0.2316825,0.0,0.0,1.0,insecure
0.1675,0.1,0.02,10000,250,9600,0.20068598426254233,0.2009975,0.003931030867519643,0.19350781250000001,0.20067708333333334,0.20862239583333334,-0.5012352109443212,0.015630470640487865,-0.5312185923966679,-0.5000965073839427,-0.47104023538007106,-4.556683735857466,0.1420951876407988,-4.8292599308787985,-4.54633188530857,-4.282183958000646,0.23374812500000003,0.0,0.0,1.0,insecure
0.17,0.1,0.02,10000,250,9600,0.20318598426254234,0.2027979166666667,0.004128011054870381,0.19406510416666667,0.20302083333333334,0.2108671875,-0.5083621165281058,0.016319737025594104,-0.5398101322287353,-0.5093936875560588,-0.4733313376857796,-4.621473786619145,0.14836124568721912,-4.907364838443049,-4.630851705055081,-4.303012160779815,0.2350984375,0.0,0.0,1.0,insecure
0.17250000000000001,0.1,0.02,10000,250,9600,0.20568598426254234,0.20574291666666664,0.003942628983323821,0.19892447916666667,0.20526041666666667,0.21445572916666666,-0.5199323431474945,0.015298172008359506,-0.553363764850301,-0.5181860750372838,-0.4930796469327538,-4.726657664977223,0.13907429098508642,-5.030579680457282,-4.710782500338944,-4.482542244843216,0.2373071875,0.0,0.0,1.0,insecure
0.17500000000000002,0.1,0.02,10000,250,9600,0.20818598426254234,0.20839916666666666,0.0040364101915555525,0.20010416666666667,0.20822916666666666,0.2168515625,-0.530217532221817,0.015537720773831764,-0.5622895935617325,-0.5297045263623795,-0.4978088974952594,-4.8201593838347,0.14125200703483418,-5.111723577833931,-4.815495694203451,-4.5255354317750855,0.23929937500000004,0.0,0.0,1.0,insecure
0.17750000000000002,0.1,0.02,10000,250,9600,0.21068598426254234,0.21091791666666665,0.004004925122354334,0.20356510416666668,0.21072916666666666,0.21852864583333334,-0.5398649517739184,0.015244637078536145,-0.5684792160766474,-0.539284549730895,-0.5115386305275298,-4.907863197944714,0.13858760980487403,-5.167992873424067,-4.902586815735409,-4.650351186613907,0.2411884375,0.0,0.0,1.0,insecure
0.18000000000000002,0.1,0.02,10000,250,9600,0.21318598426254234,0.21324333333333334,0.00418691415810451,0.20416927083333333,0.21333333333333335,0.2209140625,-0.5486591026425958,0.015825608640476285,-0.5772022140180304,-0.5491484555426162,-0.5139121216236412,-4.987810024023596,0.14386916945887532,-5.247292854709367,-4.992258686751056,-4.671928378396738,0.2429325,0.0,0.0,1.0,insecure
0.18250000000000002,0.1,0.02,10000,250,9600,0.21568598426254235,0.21568458333333337,0.004285573279979532,0.20794010416666667,0.21583333333333332,0.2238984375,-0.5577982666644896,0.01594435875197294,-0.5879800030347686,-0.5585080942246284,-0.5285897830881106,-5.070893333313542,0.1449487159270267,-5.345272754861533,-5.0773463111329855,-4.805361664437368,0.24476343750000001,0.0,0.0,1.0,insecure
0.18500000000000003,0.1,0.02,10000,250,9600,0.21818598426254235,0.21789625,0.00436119988755684,0.21019791666666668,0.21770833333333334,0.22717447916666667,-0.5659907407302398,0.016072991626362727,-0.5996420984455094,-0.5654577572690224,-0.5372576360720519,-5.145370370274907,0.14611810569420663,-5.4512918040500855,-5.140525066082022,-4.884160327927745,0.24642218749999997,0.0,0.0,1.0,insecure
0.1875,0.1,0.02,10000,250,9600,0.22068598426254235,0.22081166666666666,0.0042180420369661515,0.21333333333333335,0.22057291666666667,0.2287265625,-0.5766813323379208,0.015311580885034082,-0.6051057279768822,-0.5759606221749751,-0.5491484555426162,-5.242557566708371,0.1391961898639462,-5.500961163426202,-5.236005656136138,-4.992258686751056,0.24860875,0.0,0.0,1.0,insecure
0.19,0.1,0.02,10000,250,9600,0.22318598426254235,0.22290291666666667,0.004497427655040944,0.2150703125,0.22291666666666668,0.23145833333333332,-0.5842339408977757,0.016218437386145097,-0.614625851745468,-0.5844513446799947,-0.555662647952459,-5.311217644525233,0.14744033987404637,-5.587507743140618,-5.3131940425454065,-5.051478617749628,0.2501771875,0.0,0.0,1.0,insecure
0.1925,0.1,0.02,10000,250,9600,0.22568598426254236,0.22521000000000002,0.004154181092449162,0.2172109375,0.2253125,0.23295052083333334,-0.5925287144686064,0.014808566292163091,-0.6197747430225399,-0.5930361587785896,-0.5636200372731252,-5.386624676987332,0.13462332992875534,-5.6343158456594535,-5.391237807078087,-5.123818520664774,0.2519075,0.0,0.0,1.0,insecure
0.195,0.1,0.02,10000,250,9600,0.22818598426254236,0.22856666666666667,0.004022813783168108,0.2209609375,0.22828125,0.23609895833333333,-0.6044129159060897,0.0141050421331729,-0.6305212271230626,-0.6035422822797661,-0.5773726609691398,-5.494662871873544,0.12822765575611728,-5.732011155664206,-5.4867480207251464,-5.248842372446725,0.254425,0.0,0.0,1.0,insecure
0.1975,0.1,0.02,10000,250,9600,0.23068598426254236,0.23082,0.0044594559853400485,0.22107812500000001,0.23109375,0.23962760416666667,-0.6122509453587168,0.015545303365476637,-0.642376303526025,-0.6133622933014579,-0.5777980626191019,-5.565917685079245,0.14132093968615123,-5.8397845775093185,-5.576020848195071,-5.252709660173655,0.256115,0.0,0.0,1.0,insecure
0.2,0.1,0.02,10000,250,9600,0.23318598426254236,0.23313333333333333,0.004475728148438396,0.2250703125,0.233125,0.241828125,-0.6202421786801197,0.015385915861752569,-0.6496704657262217,-0.6203745974801155,-0.5921725283274711,-5.63856526072836,0.1398719623795688,-5.906095142965651,-5.6397690680010495,-5.383386621158828,0.25784999999999997,0.0,0.0,1.0,insecure
0.2025,0.1,0.02,10000,250,9600,0.23568598426254236,0.23597666666666664,0.0043175222891249304,0.22890104166666667,0.23552083333333335,0.2456015625,-0.6299584812915605,0.014586117472724897,-0.6620002107488152,-0.6285599319615586,-0.60571737246933,-5.726895284468733,0.13260106793386267,-6.0181837340801385,-5.7141811996505325,-5.5065215679029995,0.2599825,0.0,0.0,1.0,insecure
0.20500000000000002,0.1,0.02,10000,250,9600,0.23818598426254237,0.23824166666666668,0.004369560189857662,0.22965364583333334,0.23833333333333334,0.2463515625,-0.6375928069126149,0.01468424101997148,-0.6644231675319666,-0.6380513889009968,-0.6083500833594088,-5.796298244660134,0.1334931001815589,-6.04021061392697,-5.800467171827243,-5.530455303267352,0.26168125,0.0,0.0,1.0,insecure
0.20750000000000002,0.1,0.02,10000,250,9600,0.24068598426254237,0.24071416666666667,0.004205655602289512,0.23304427083333334,0.2409375,0.24849479166666666,-0.6458489633146095,0.013917350502959523,-0.6713034756145986,-0.6467278115077207,-0.620097162325004,-5.8713542119509965,0.12652136820872292,-6.1027588692236225,-5.879343740979279,-5.637246930227309,0.26353562500000005,0.0,0.0,1.0,insecure
0.21000000000000002,0.1,0.02,10000,250,9600,0.24318598426254237,0.24295541666666667,0.004132528342587249,0.2341328125,0.24333333333333335,0.25092447916666666,-0.6532438224362279,0.01356992223452956,-0.6790159835681462,-0.6546155237833867,-0.623828889767335,-5.938580203965708,0.12336292940481414,-6.172872577892238,-5.951050216212606,-5.671171725157591,0.26521656250000003,0.0,0.0,1.0,insecure
0.21250000000000002,0.1,0.02,10000,250,9600,0.24568598426254237,0.24577416666666668,0.004389902107977588,0.23720052083333334,0.24567708333333332,0.254546875,-0.662409468234501,0.014210382778246244,-0.6903466846421817,-0.6622446974659265,-0.6342432952483223,-6.021904256677282,0.12918529798405673,-6.275878951292561,-6.020406340599332,-5.765848138621112,0.267330625,0.0,0.0,1.0,insecure
0.21500000000000002,0.1,0.02,10000,250,9600,0.24818598426254238,0.24797541666666667,0.0043408992660799,0.23979166666666665,0.24802083333333333,0.2562265625,-0.6694977622769036,0.013909396802235177,-0.6955334255525352,-0.669788384994335,-0.6429234521977586,-6.0863432934263955,0.1264490618385016,-6.323031141386683,-6.088985318130319,-5.84475865634326,0.26898156250000005,0.0,0.0,1.0,insecure
0.21750000000000003,0.1,0.02,10000,250,9600,0.25068598426254235,0.25062416666666665,0.004338230695294537,0.24207291666666667,0.25036458333333333,0.25951302083333333,-0.6779241048690341,0.013671565279606522,-0.7055572606250371,-0.6772470463570759,-0.6504769150120489,-6.162946407900309,0.12428695708733208,-6.414156914773064,-6.156791330518872,-5.913426500109535,0.270968125,0.0,0.0,1.0,insecure
0.22,0.1,0.02,10000,250,9600,0.2531859842625423,0.25330125,0.0039562261221630654,0.24572916666666667,0.25333333333333335,0.26126041666666666,-0.6863546020039566,0.01233438788914518,-0.7108207295244637,-0.6865735627878075,-0.6624132827759316,-6.239587290945061,0.11213079899222894,-6.46200663204058,-6.241577843525523,-6.021938934326651,0.27297593750000004,0.0,0.0,1.0,insecure
