phase_margin,attack,drift,eta_c_psecure50,max_abs_dp_deta,eta_at_max_abs_dp_deta
0.02,0.35,0.03,0.04290625000000001,110.3999999999999,0.0425
0.02,0.4,0.03,0.040136986301369866,108.79999999999993,0.04
0.03,0.05,0.005,0.08702586206896551,103.99999999999991,0.0875
0.03,0.1,0.005,0.08412650602409638,110.39999999999989,0.08499999999999999
0.03,0.15,0.005,0.08192857142857142,122.40000000000018,0.08249999999999999
0.03,0.2,0.005,0.07880434782608696,116.80000000000001,0.08
0.03,0.25,0.005,0.07613013698630137,110.39999999999992,0.075
0.03,0.3,0.005,0.07349315068493151,111.19999999999992,0.0725
0.03,0.35,0.005,0.07069230769230768,104.0000000000002,0.06999999999999999
0.03,0.4,0.005,0.06734756097560976,109.60000000000011,0.0675
0.03,0.05,0.01,0.08141891891891892,105.60000000000026,0.08
0.03,0.1,0.01,0.07891176470588235,114.40000000000008,0.08
0.03,0.15,0.01,0.07604477611940298,109.59999999999992,0.075
0.03,0.2,0.01,0.0732471264367816,118.39999999999989,0.0725
0.03,0.25,0.01,0.07076086956521739,106.40000000000018,0.06999999999999999
0.03,0.3,0.01,0.06779605263157895,124.80000000000021,0.0675
0.03,0.35,0.01,0.06471052631578948,132.79999999999987,0.065
0.03,0.4,0.01,0.06211267605633803,119.20000000000005,0.0625
0.03,0.05,0.02,0.07035211267605633,112.80000000000021,0.06999999999999999
0.03,0.1,0.02,0.06775974025974027,116.80000000000028,0.0675
0.03,0.15,0.02,0.06508620689655173,118.39999999999989,0.065
0.03,0.2,0.02,0.06186567164179105,114.40000000000003,0.0625
0.03,0.25,0.02,0.05953947368421053,123.20000000000005,0.060000000000000005
0.03,0.3,0.02,0.05657051282051282,111.1999999999999,0.0575
0.03,0.35,0.02,0.054043209876543215,120.80000000000007,0.055
0.03,0.4,0.02,0.050793650793650794,103.9999999999999,0.05
0.03,0.05,0.03,0.059123376623376626,113.6,0.060000000000000005
0.03,0.1,0.03,0.05649305555555556,107.99999999999991,0.0575
0.03,0.15,0.03,0.053994845360824745,127.20000000000016,0.055
0.03,0.2,0.03,0.05106382978723405,116.7999999999999,0.05
0.03,0.25,0.03,0.0483974358974359,107.19999999999999,0.0475
0.03,0.3,0.03,0.045625000000000006,112.00000000000014,0.045000000000000005
0.03,0.35,0.03,0.04283950617283951,112.7999999999999,0.0425
0.03,0.4,0.03,0.04003246753246753,111.1999999999999,0.04
0.05,0.05,0.005,0.0868103448275862,105.59999999999991,0.0875
0.05,0.1,0.005,0.08376470588235294,110.40000000000008,0.08249999999999999
0.05,0.15,0.005,0.08152597402597402,119.20000000000023,0.08249999999999999
